codigo_ponto;url_detalhe;html_local;imagem_origem_url;imagem_local;updated_at_utc;analises_quimicas__amostra;analises_quimicas__data_da_coleta;analises_quimicas__condutividade_eletrica_s_cm;analises_quimicas__qualidade_da_agua_pt_co;analises_quimicas__sabor_da_agua;analises_quimicas__qualidade_da_agua_odor;analises_quimicas__temperatura_co;analises_quimicas__turbides_ntu;analises_quimicas__solidos_suspensos_mg_l;analises_quimicas__solidos_sedimentaveis_mg_l;analises_quimicas__aspecto_natural;analises_quimicas__parametro;analises_quimicas__unidade
2900027838;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900027838;data/raw/html_pocos/2900027838.html;;;2026-04-10T17:28:39.831699+00:00;;;;;;;;;;;;;
2900027838;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900027838;data/raw/html_pocos/2900027838.html;;;2026-04-10T17:28:39.831699+00:00;;;;;;;;;;;;;
2900029433;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900029433;data/raw/html_pocos/2900029433.html;;;2026-04-10T17:28:40.226923+00:00;CORPORE 24366/14;08/10/2014;0;0;;;;;;;;;
2900029433;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900029433;data/raw/html_pocos/2900029433.html;;;2026-04-10T17:28:40.226923+00:00;CORPORE 24366/14;08/10/2014;0;0;;;;;;;;;
2900029434;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900029434;data/raw/html_pocos/2900029434.html;;;2026-04-10T17:28:40.624617+00:00;CORPORE 24367/14;23/11/2014;0;0;;;;;;;;;
2900029434;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900029434;data/raw/html_pocos/2900029434.html;;;2026-04-10T17:28:40.624617+00:00;CORPORE 24367/14;23/11/2014;0;0;;;;;;;;;
2900029435;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900029435;data/raw/html_pocos/2900029435.html;;;2026-04-10T17:28:41.016985+00:00;CORPORE 24370/14;25/11/2014;0;0;;;;;;;;;
2900029435;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900029435;data/raw/html_pocos/2900029435.html;;;2026-04-10T17:28:41.016985+00:00;CORPORE 24370/14;25/11/2014;0;0;;;;;;;;;
2900029436;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900029436;data/raw/html_pocos/2900029436.html;;;2026-04-10T17:28:41.407160+00:00;;;;;;;;;;;;;
2900029436;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900029436;data/raw/html_pocos/2900029436.html;;;2026-04-10T17:28:41.407160+00:00;;;;;;;;;;;;;
